Date,Open,High,Low,Close,Volume
9/14/2018 15:00:00,173.68,175.86,173.68,175.86,0
9/17/2018 15:00:00,175.39,175.46,172.28,172.56,0
9/18/2018 15:00:00,172.46,173.18,171.4,172.69,0
9/19/2018 15:00:00,173.21,174.81,173.21,174.58,0
9/20/2018 15:00:00,175.14,176.37,175.04,176.14,0
9/21/2018 15:00:00,176.82,177.29,175.98,176.63,0
9/24/2018 15:00:00,176.5,176.7,174.94,175.07,0
9/25/2018 15:00:00,174.81,175.56,174.25,175.05,0
9/26/2018 15:00:00,175.09,175.83,174.89,174.89,0
9/27/2018 15:00:00,174.96,176.73,174.91,176.73,0
9/28/2018 15:00:00,176.82,178.09,176.81,178.09,0
10/1/2018 15:00:00,177.3,178.52,177.17,177.2,0
10/2/2018 15:00:00,177.33,177.82,174.85,175.23,0
10/3/2018 15:00:00,175.05,176.41,173.79,174.85,0
10/4/2018 15:00:00,174.32,174.33,171.21,171.97,0
10/5/2018 15:00:00,171.28,171.58,170.2,170.9,0
10/8/2018 15:00:00,170.71,172.14,170.71,171.16,0
10/9/2018 15:00:00,171.65,172.19,170.77,172.09,0
10/10/2018 15:00:00,172.61,173.28,172.5,172.85,0
10/11/2018 15:00:00,170.54,170.93,168.83,169.96,0
10/12/2018 15:00:00,170.49,172.38,170.47,171.77,0
10/15/2018 15:00:00,172.11,173.1,170.34,170.34,0
10/16/2018 15:00:00,170.71,172.83,170.43,172.83,0
10/17/2018 15:00:00,173.74,174.68,173.33,174.68,0
10/18/2018 15:00:00,174.29,174.48,172.92,173.9,0
10/19/2018 15:00:00,173.15,174.75,172.61,174.36,0
10/22/2018 15:00:00,174.49,175.17,174.18,174.58,0
10/23/2018 15:00:00,174.39,174.75,173.19,173.49,0
10/24/2018 15:00:00,173.43,173.87,170.94,170.94,0
10/25/2018 15:00:00,168.74,172.26,168.49,172.26,0
10/26/2018 15:00:00,172.3,173.15,172.16,172.84,0
10/29/2018 15:00:00,173.34,174.11,171.74,172.06,0
10/30/2018 15:00:00,171.86,173.02,171.42,173.02,0
10/31/2018 15:00:00,173.68,174.25,172.19,174.14,0
11/1/2018 15:00:00,174.43,174.86,173.3,173.97,0
